date,GE,JPM,MSFT,PG
2017-06-01,27.72,83.06,70.1,88.13
2017-06-02,27.88,82.64,71.76,88.59
2017-06-05,27.98,82.79,72.28,88.74
2017-06-06,27.93,82.96,72.52,88.8
2017-06-07,27.68,83.91,72.39,88.77
2017-06-08,27.59,84.95,71.945,87.85
2017-06-09,27.94,86.96,70.32,88.16
2017-06-12,28.94,86.98,69.78,88.24
2017-06-13,28.45,87.27,70.65,88.06
2017-06-14,28.69,87.09,70.27,88.44
2017-06-15,28.94,86.57,69.9,89.38
2017-06-16,29.0,86.18,70.0,89.66
2017-06-19,28.8,88.07,70.87,89.86
2017-06-20,28.13,87.52,69.91,89.63
2017-06-21,27.78,87.12,70.27,89.4
2017-06-22,27.55,87.02,70.26,89.03
2017-06-23,27.57,86.86,71.21,89.42
2017-06-26,27.61,87.24,70.53,89.36
2017-06-27,27.21,88.05,69.21,88.61
2017-06-28,27.08,89.82,69.8,88.37
2017-06-29,27.02,91.15,68.49,86.99
2017-06-30,27.01,91.4,68.93,87.15
2017-07-03,27.45,92.75,68.17,87.74
2017-07-05,27.35,93.68,69.08,87.67
2017-07-06,26.31,93.38,68.57,87.37
2017-07-07,26.15,93.85,69.46,87.65
2017-07-10,26.04,93.19,69.98,87.09
2017-07-11,26.38,92.83,69.99,86.77
2017-07-12,26.58,92.51,71.15,86.96
2017-07-13,26.79,93.1,71.77,86.7
2017-07-14,26.78,92.25,72.78,87.1
2017-07-17,26.82,91.39,73.35,87.55
2017-07-18,26.89,91.07,73.3,88.64
2017-07-19,26.94,91.2,73.86,88.35
2017-07-20,26.69,91.2,74.24,88.6
2017-07-21,25.91,90.89,73.79,88.61
2017-07-24,25.43,91.28,73.6,88.18
2017-07-25,25.44,92.8,74.19,89.14
2017-07-26,25.59,91.93,74.05,89.3
2017-07-27,25.79,91.55,73.16,90.68
2017-07-28,25.53,91.28,73.04,90.21
2017-07-31,25.61,91.8,72.72,90.82
2017-08-01,25.44,93.03,72.58,91.1
2017-08-02,25.52,93.11,72.26,91.04
2017-08-03,25.76,92.5,72.15,90.86
2017-08-04,25.78,93.66,72.68,90.67
2017-08-07,25.63,94.02,72.4,91.44
2017-08-08,25.56,93.68,72.79,91.58
2017-08-09,25.71,93.53,72.47,91.92
2017-08-10,25.3,92.19,71.41,91.74
2017-08-11,25.2,91.42,72.5,91.34
2017-08-14,25.36,92.49,73.59,91.65
2017-08-15,25.14,92.73,73.22,92.2
2017-08-16,25.1,92.09,73.65,92.44
2017-08-17,24.75,90.65,72.4,92.07
2017-08-18,24.55,90.74,72.49,92.47
2017-08-21,24.49,90.63,72.15,92.86
2017-08-22,24.6,91.56,73.16,92.79
2017-08-23,24.39,91.67,72.72,92.44
2017-08-24,24.3,91.52,72.69,92.27
2017-08-25,24.49,91.89,72.82,92.51
2017-08-28,24.47,91.6,72.83,92.47
2017-08-29,24.44,91.1,73.05,92.32
2017-08-30,24.28,91.31,74.01,91.87
2017-08-31,24.55,90.89,74.77,92.27
2017-09-01,25.14,91.7,73.94,92.53
2017-09-05,24.76,89.51,73.61,92.72
2017-09-06,24.92,90.11,73.4,92.72
2017-09-07,24.02,88.53,74.34,92.97
2017-09-08,23.82,88.42,73.98,92.84
2017-09-11,23.72,89.79,74.76,93.99
2017-09-12,23.91,90.89,74.68,93.51
2017-09-13,24.11,91.15,75.21,93.55
2017-09-14,24.26,90.97,74.77,93.55
2017-09-15,23.93,91.62,75.31,93.27
2017-09-18,24.46,92.92,75.16,93.15
2017-09-19,24.2,93.94,75.44,94.17
2017-09-20,24.32,94.6,74.94,94.4
2017-09-21,24.75,95.03,74.21,92.64
2017-09-22,24.87,94.83,74.41,92.24
2017-09-25,25.11,94.12,73.26,92.72
2017-09-26,24.93,93.7,73.26,92.65
2017-09-27,24.37,95.18,73.85,90.87
2017-09-28,24.24,95.38,73.87,90.89
2017-09-29,24.18,95.51,74.49,90.98
2017-10-02,24.57,96.84,74.61,91.77
2017-10-03,24.8,97.35,74.26,92.12
2017-10-04,24.48,96.36,74.69,92.42
2017-10-05,24.54,97.09,75.97,92.03
2017-10-06,24.39,96.92,76.0,92.33
2017-10-09,23.43,96.41,76.29,92.12
2017-10-10,23.36,97.13,76.29,91.62
2017-10-11,23.07,96.84,76.42,91.46
2017-10-12,23.05,95.99,77.12,92.15
2017-10-13,22.98,95.86,77.49,93.04
2017-10-16,23.36,97.84,77.65,93.14
2017-10-17,23.19,97.62,77.59,92.8
2017-10-18,23.12,97.99,77.61,92.77
2017-10-19,23.58,98.11,77.91,91.59
2017-10-20,23.83,99.51,78.81,88.25
2017-10-23,22.32,99.34,78.83,87.3
2017-10-24,21.89,100.92,78.86,86.98
2017-10-25,21.525,101.05,78.63,86.84
2017-10-26,21.32,101.74,78.76,87.5
2017-10-27,20.79,101.77,83.81,87.04
2017-10-30,20.41,101.41,83.89,86.27
2017-10-31,20.16,100.61,83.18,86.34
2017-11-01,20.02,100.92,83.18,86.89
2017-11-02,19.94,101.59,84.05,86.51
2017-11-03,20.14,101.41,84.14,86.58
2017-11-06,20.13,100.78,84.47,86.05
2017-11-07,20.21,98.75,84.27,86.98
2017-11-09,19.99,97.63,84.09,87.78
2017-11-10,20.49,97.51,83.87,88.16
2017-11-13,19.02,97.86,83.93,89.0
2017-11-14,17.9,97.27,84.05,88.87
2017-11-15,18.26,98.19,82.98,88.23
2017-11-16,18.25,98.47,83.2,89.25
2017-11-17,18.21,98.14,82.4,88.43
2017-11-20,17.98,99.01,82.53,88.27
2017-11-21,17.83,98.93,83.72,88.72
2017-11-22,18.15,98.64,83.11,88.33
2017-11-24,18.19,98.32,83.26,88.45
2017-11-27,18.12,97.93,83.87,88.96
2017-11-28,18.41,101.36,84.88,89.4
2017-11-29,18.48,103.73,83.34,89.38
2017-11-30,18.29,104.52,84.17,89.99
2017-12-01,17.88,104.79,84.26,90.36
2017-12-04,17.95,106.95,81.08,91.41
2017-12-05,17.76,105.72,81.59,91.4
2017-12-06,17.66,104.93,82.78,91.25
2017-12-07,17.71,104.62,82.49,90.1
2017-12-08,17.71,105.93,84.16,90.37
2017-12-11,17.65,105.62,85.23,90.23
2017-12-12,17.91,106.85,85.58,89.85
2017-12-13,17.76,105.51,85.35,90.88
2017-12-14,17.64,104.66,84.69,91.0
2017-12-15,17.82,106.14,86.85,91.89
2017-12-18,17.76,106.96,86.38,91.88
2017-12-19,17.59,106.51,85.83,91.68
2017-12-20,17.45,106.14,85.52,91.53
2017-12-21,17.47,107.83,85.5,91.67
2017-12-22,17.5,107.45,85.51,92.13
2017-12-26,17.43,107.02,85.4,92.48
2017-12-27,17.38,107.22,85.71,92.1
2017-12-28,17.36,107.79,85.72,92.07
2017-12-29,17.45,106.94,85.54,91.88
2018-01-02,17.98,107.95,85.95,90.65
2018-01-03,18.15,108.06,86.35,90.54
2018-01-04,18.53,109.04,87.11,91.18
2018-01-05,18.54,108.34,88.19,91.24
2018-01-08,18.28,108.5,88.28,91.72
2018-01-09,18.56,109.05,88.22,91.05
2018-01-10,18.929,110.25,87.82,90.47
2018-01-11,19.02,110.84,88.08,90.15
2018-01-12,18.76,112.67,89.58,89.61
2018-01-16,18.21,112.27,88.35,90.22
2018-01-17,17.35,112.99,90.14,91.2
2018-01-18,16.77,113.26,90.1,90.18
2018-01-19,16.26,113.01,90.0,91.07
2018-01-22,16.17,114.33,91.61,91.89
2018-01-23,16.89,114.21,91.9,89.05
2018-01-24,16.44,115.67,91.82,88.31
2018-01-25,16.18,115.7,92.33,88.34
2018-01-26,16.13,116.32,94.06,87.73
2018-01-29,16.28,116.2,93.92,86.86
2018-01-30,15.95,115.11,92.74,86.95
2018-01-31,16.17,115.67,95.01,86.34
2018-02-01,16.02,116.87,94.26,85.85
2018-02-02,15.64,114.28,91.78,84.25
2018-02-05,14.91,108.8,89.05,81.06
2018-02-06,15.27,112.11,91.33,82.38
2018-02-07,15.25,112.87,89.61,81.84
2018-02-08,14.45,107.88,84.89,80.22
2018-02-09,14.94,110.04,88.1,79.92
2018-02-12,14.82,111.74,89.13,81.33
2018-02-13,14.67,112.43,89.83,81.5
2018-02-14,14.9,115.03,90.81,80.68
2018-02-15,14.85,115.51,92.66,82.41
2018-02-16,15.05,114.68,92.0,82.6
2018-02-20,14.74,114.71,92.72,81.34
2018-02-21,14.49,115.19,91.49,80.24
2018-02-22,14.62,114.98,91.74,80.84
2018-02-23,14.49,117.31,94.06,81.05
2018-02-26,14.65,118.77,95.42,81.63
2018-02-27,14.5,117.36,94.2,80.54
2018-02-28,14.11,115.5,93.77,78.52
2018-03-01,14.02,113.43,92.85,78.7
2018-03-02,14.12,113.32,93.05,79.5
2018-03-05,14.42,115.06,93.64,80.29
2018-03-06,14.64,115.16,93.32,80.02
2018-03-07,14.51,114.73,93.86,79.16
2018-03-08,14.52,114.74,94.43,79.97
2018-03-09,14.94,118.04,96.54,80.29
2018-03-12,15.1,117.66,96.77,79.86
2018-03-13,14.43,116.25,94.41,79.72
2018-03-14,14.27,114.95,93.85,79.0
2018-03-15,14.36,115.24,94.18,78.67
2018-03-16,14.31,115.44,94.6,78.97
2018-03-19,14.07,114.53,92.89,78.66
2018-03-20,13.64,114.64,93.13,78.31
2018-03-21,13.88,114.74,92.48,77.04
2018-03-22,13.35,109.95,89.79,76.41
2018-03-23,13.07,107.01,87.18,75.91
2018-03-26,12.89,110.31,93.78,76.41
2018-03-27,13.44,108.17,89.47,77.79
